Site,Plot,Area Sampled (m2),Species,BD_cm,,,,,,,,,,
LBR,1,10,Betula,1.05,,,,,,,,,,
LBR,1,10,Betula,1.45,,,,,,,,,,
LBR,1,10,Betula,1.02,,,,,,,,,,
LBR,1,10,Betula,0.85,,,,,,,,,,
LBR,1,10,Betula,0.38,,,,,,,,,,
LBR,1,10,Betula,0.38,,,,,,,,,,
LBR,1,10,Betula,0.27,,,,,,,,,,
LBR,1,10,Betula,0.71,,,,,,,,,,
LBR,2,10,Betula,0.28,,,,,,,,,,
LBR,2,10,Betula,0.29,,,,,,,,,,
LBR,2,10,Betula,0.33,,,,,,,,,,
LBR,2,10,Betula,0.2,,,,,,,,,,
LBR,2,10,Betula,0.9,,,,,,,,,,
LBR,2,10,Betula,0.35,,,,,,,,,,
LBR,2,10,Betula,0.28,,,,,,,,,,
LBR,2,10,Betula,0.45,,,,,,,,,,
LBR,2,10,Betula,0.38,,,,,,,,,,
LBR,2,10,Betula,0.69,,,,,,,,,,
LBR,2,10,Betula,0.2,,,,,,,,,,
LBR,2,10,Betula,0.25,,,,,,,,,,
LBR,2,10,Betula,0.3,,,,,,,,,,
LBR,2,10,Betula,0.56,,,,,,,,,,
LBR,2,10,Betula,0.46,,,,,,,,,,
LBR,2,10,Betula,0.5,,,,,,,,,,
LBR,2,10,Betula,0.66,,,,,,,,,,
LBR,2,10,Betula,0.8,,,,,,,,,,
LBR,2,10,Betula,0.29,,,,,,,,,,
LBR,2,10,Betula,0.64,,,,,,,,,,
LBR,2,10,Betula,0.35,,,,,,,,,,
LBR,2,10,Betula,0.45,,,,,,,,,,
LBR,2,10,Betula,1.4,,,,,,,,,,
LBR,2,10,Betula,1,,,,,,,,,,
LBR,2,10,Betula,0.35,,,,,,,,,,
LBR,2,10,Betula,0.68,,,,,,,,,,
LBR,2,10,Betula,0.85,,,,,,,,,,
LBR,2,10,Betula,0.62,,,,,,,,,,
LBR,2,10,Betula,0.52,,,,,,,,,,
LBR,2,10,Betula,0.83,,,,,,,,,,
LBR,2,10,Betula,0.93,,,,,,,,,,
LBR,2,10,Betula,0.96,,,,,,,,,,
LBR,2,10,Betula,0.99,,,,,,,,,,
LBR,2,10,Betula,0.58,,,,,,,,,,
LBR,2,10,Betula,0.53,,,,,,,,,,
LBR,2,10,Betula,1,,,,,,,,,,
LBR,2,10,Betula,0.4,,,,,,,,,,
LBR,2,10,Betula,0.45,,,,,,,,,,
LBR,2,10,Betula,1.17,,,,,,,,,,
LBR,2,10,Betula,1,,,,,,,,,,
LBR,2,10,Betula,0.22,,,,,,,,,,
LBR,2,10,Betula,0.75,,,,,,,,,,
LBR,2,10,Betula,1.22,,,,,,,,,,
LBR,2,10,Betula,2.31,,,,,,,,,,
LBR,2,10,Betula,0.95,,,,,,,,,,
LBR,2,10,Salix,1.15,,,,,,,,,,
LBR,2,10,Salix,0.89,,,,,,,,,,
LBR,2,10,Salix,0.05,,,,,,,,,,
LBR,2,10,Salix,0.26,,,,,,,,,,
LBR,2,10,Salix,0.58,,,,,,,,,,
LBR,2,10,Salix,0.29,,,,,,,,,,
LBR,2,10,Salix,0.49,,,,,,,,,,
LBR,2,10,Salix,0.86,,,,,,,,,,
LBR,2,10,Salix,0.27,,,,,,,,,,
LBR,2,10,Salix,0.55,,,,,,,,,,
LBR,2,10,Salix,0.84,,,,,,,,,,
LBR,2,10,Salix,1.04,,,,,,,,,,
LBR,2,10,Salix,0.5,,,,,,,,,,
LBR,2,10,Salix,0.75,,,,,,,,,,
LBR,2,10,Salix,0.45,,,,,,,,,,
LBR,2,10,Salix,0.54,,,,,,,,,,
LBR,2,10,Salix,1.1,,,,,,,,,,
LBR,2,10,Salix,1.21,,,,,,,,,,
LBR,2,10,Salix,0.81,,,,,,,,,,
LBR,2,10,Salix,0.27,,,,,,,,,,
LBR,2,10,Salix,0.11,,,,,,,,,,
LBR,2,10,Salix,0.27,,,,,,,,,,
LBR,2,10,Salix,0.35,,,,,,,,,,
LBR,2,10,Salix,0.11,,,,,,,,,,
LBR,2,10,Betula,0.29,,,,,,,,,,
LBR,2,10,Betula,0.5,,,,,,,,,,
LBR,2,10,Betula,0.55,,,,,,,,,,
LBR,2,10,Betula,0.61,,,,,,,,,,
LBR,2,10,Betula,0.48,,,,,,,,,,
LBR,2,10,Betula,0.35,,,,,,,,,,
LBR,2,10,Betula,0.88,,,,,,,,,,
LBR,2,10,Betula,0.65,,,,,,,,,,
LBR,2,10,Betula,0.45,,,,,,,,,,
LBR,2,10,Betula,0.53,,,,,,,,,,
LBR,2,10,Betula,1,,,,,,,,,,
LBR,2,10,Betula,0.35,,,,,,,,,,
LBR,2,10,Betula,0.35,,,,,,,,,,
LBR,2,10,Betula,0.61,,,,,,,,,,
LBR,2,10,Betula,0.54,,,,,,,,,,
LBR,2,10,Betula,0.9,,,,,,,,,,
LBR,2,10,Betula,0.54,,,,,,,,,,
LBR,3,10,Betula,0.7,,,,,,,,,,
LBR,3,10,Betula,0.68,,,,,,,,,,
LBR,3,10,Betula,0.65,,,,,,,,,,
LBR,3,10,Betula,0.6,,,,,,,,,,
LBR,3,10,Betula,0.36,,,,,,,,,,
LBR,3,10,Betula,0.5,,,,,,,,,,
LBR,3,10,Betula,0.45,,,,,,,,,,
LBR,3,10,Betula,0.44,,,,,,,,,,
LBR,3,10,Betula,0.52,,,,,,,,,,
LBR,3,10,Betula,0.65,,,,,,,,,,
LBR,3,10,Betula,1.08,,,,,,,,,,
LBR,3,10,Betula,0.48,,,,,,,,,,
LBR,3,10,Betula,0.29,,,,,,,,,,
LBR,3,10,Betula,0.68,,,,,,,,,,
LBR,3,10,Betula,0.55,,,,,,,,,,
LBR,3,10,Betula,0.54,,,,,,,,,,
LBR,3,10,Betula,1.26,,,,,,,,,,
LBR,3,10,Betula,0.8,,,,,,,,,,
LBR,3,10,Betula,1.3,,,,,,,,,,
LBR,3,10,Betula,0.37,,,,,,,,,,
LBR,3,10,Betula,0.36,,,,,,,,,,
LBR,3,10,Betula,0.25,,,,,,,,,,
LBR,3,10,Betula,0.55,,,,,,,,,,
LBR,3,10,Betula,0.34,,,,,,,,,,
LBR,3,10,Betula,0.93,,,,,,,,,,
LBR,3,10,Betula,0.7,,,,,,,,,,
LBR,3,10,Betula,1.3,,,,,,,,,,
LBR,3,10,Betula,0.82,,,,,,,,,,
LBR,3,10,Betula,0.64,,,,,,,,,,
LBR,3,10,Betula,0.81,,,,,,,,,,
LBR,3,10,Betula,0.45,,,,,,,,,,
LBR,3,10,Betula,0.81,,,,,,,,,,
LBR,3,10,Betula,0.25,,,,,,,,,,
LBR,3,10,Betula,0.4,,,,,,,,,,
LBR,3,10,Betula,0.58,,,,,,,,,,
LBR,3,10,Betula,0.47,,,,,,,,,,
LBR,3,10,Betula,0.61,,,,,,,,,,
LBR,3,10,Betula,0.25,,,,,,,,,,
LBR,3,10,Betula,0.45,,,,,,,,,,
LBR,3,10,Betula,0.55,,,,,,,,,,
LBR,3,10,Betula,0.47,,,,,,,,,,
LBR,3,10,Betula,0.48,,,,,,,,,,
LBR,3,10,Betula,0.46,,,,,,,,,,
LBR,3,10,Betula,0.4,,,,,,,,,,
LBR,3,10,Betula,0.52,,,,,,,,,,
LBR,3,10,Betula,0.65,,,,,,,,,,
LBR,3,10,Betula,1.01,,,,,,,,,,
LBR,3,10,Betula,0.51,,,,,,,,,,
LBR,3,10,Betula,1,,,,,,,,,,
LBR,3,10,Betula,0.42,,,,,,,,,,
LBR,3,10,Betula,0.45,,,,,,,,,,
LBR,3,10,Betula,1.3,,,,,,,,,,
LBR,3,10,Betula,0.96,,,,,,,,,,
LBR,3,10,Betula,0.79,,,,,,,,,,
LBR,3,10,Betula,1.1,,,,,,,,,,
LBR,3,10,Betula,0.62,,,,,,,,,,
LBR,3,10,Betula,0.26,,,,,,,,,,
LBR,3,10,Betula,1.36,,,,,,,,,,
LBR,3,10,Betula,0.95,,,,,,,,,,
LBR,3,10,Betula,1.26,,,,,,,,,,
LBR,3,10,Betula,0.87,,,,,,,,,,
LBR,3,10,Betula,0.75,,,,,,,,,,
LBR,3,10,Betula,2.62,,,,,,,,,,
LBR,3,10,Salix,0.23,,,,,,,,,,
LBR,3,10,Salix,0.58,,,,,,,,,,
